fecha;pais;casos_mes;muertes_mes;incicencia_media_mes
8/2020;Lithuania;812;6;10.838180651935485
7/2020;Lithuania;246;2;2.9173500751612904
6/2020;Lithuania;146;8;3.1219609496666667
5/2020;Lithuania;295;25;4.145708002903226
4/2020;Lithuania;891;38;18.941725623
3/2020;Lithuania;483;7;5.046195954545454
2/2020;Lithuania;1;0;0.0024681806896551723
11/2020;Luxembourg;16275;148;1305.869608275862
10/2020;Luxembourg;8703;28;390.873406016129
9/2020;Luxembourg;1806;0;48.28195095866667
8/2020;Luxembourg;9;10;102.44492140709677
7/2020;Luxembourg;2360;4;134.87145043258064
6/2020;Luxembourg;240;0;12.048768462666667
5/2020;Luxembourg;247;21;25.826671559032256
4/2020;Luxembourg;1781;67;195.97845883033332
3/2020;Luxembourg;1988;22;100.32269414625
11/2020;Malta;3469;69;346.86137163793103
10/2020;Malta;2983;25;230.79895864290322
9/2020;Malta;1164;22;111.3882366
8/2020;Malta;1149;3;89.97192152193549
7/2020;Malta;67;0;2.509749954516129
6/2020;Malta;52;0;6.0715470016666675
5/2020;Malta;153;5;14.417990619354839
4/2020;Malta;295;4;31.310002114333333
3/2020;Malta;169;0;10.8355839924
11/2020;Moldova;30651;503;316.8083587758621
10/2020;Moldova;23172;456;250.1543828451613
9/2020;Moldova;15329;318;166.84152565333335
8/2020;Moldova;12753;221;127.35816896129032
7/2020;Moldova;7590;235;85.98144399483871
6/2020;Moldova;8259;245;86.922476871
5/2020;Moldova;4327;180;45.96899731032258
4/2020;Moldova;3473;109;32.08056473366666
3/2020;Moldova;298;2;1.743643369090909
11/2020;Monaco;252;1;409.08214473793106
10/2020;Monaco;141;0;135.62329679032257
9/2020;Monaco;83;0;120.59845852333333
8/2020;Monaco;47;0;46.89777552354839
7/2020;Monaco;14;0;15.502591076451612
6/2020;Monaco;3;0;1.914261246
5/2020;Monaco;1;0;2.4375143222580644
4/2020;Monaco;30;1;60.047352778000004
3/2020;Monaco;35;0;50.11016282
2/2020;Monaco;1;0;0.10422475034482759
11/2020;Montenegro;16388;187;1107.758800775862
10/2020;Montenegro;7491;130;541.5903094870968
9/2020;Montenegro;5785;66;353.69072073333336
8/2020;Montenegro;1717;50;150.0442615032258
7/2020;Montenegro;2572;37;140.81555433903225
6/2020;Montenegro;177;2;5.218194462
