Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
NECTARINAS;01/2018;1.244;1.519;222.485;242.003;178.834;159.353;1.699;1.36;1.756;25.235;62.848;89.659;14.856;46.21;51.045;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
ALBARICOQUES;01/2018;1.896;1.797;25.932;79.143;13.679;44.045;0.0;3.438;2.354;0.0;4.282;41.458;0.0;1.245;17.615;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
FRESAS/FRESON;01/2018;3.537;3.312;5070.94;3385.136;1433.756;1022.006;3.192;2.808;3.69;1496.928;1199.452;4730.332;468.92;427.2;1281.906;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
MELON;01/2018;1.641;1.634;1382.51;1363.371;842.629;834.622;1.924;1.47;1.729;641.415;431.489;1906.572;333.371;293.466;1102.787;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
SANDIA;01/2018;1.959;1.776;35.668;15.661;18.205;8.819;1.683;0.527;0.694;7.773;52.795;15.016;4.619;100.258;21.643;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CIRUELAS;01/2018;1.973;1.848;61.646;84.99;31.251;45.981;4.298;1.86;2.151;39.08;30.01;61.782;9.093;16.135;28.723;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CEREZAS;01/2018;4.721;4.202;30.467;207.113;6.453;49.285;4.026;7.352;9.22;38.083;79.202;119.025;9.46;10.773;12.909;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
UVAS;01/2018;2.914;2.955;1613.942;1824.861;553.84;617.637;3.084;3.196;3.187;310.11;538.402;2390.64;100.548;168.464;750.157;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
KIWI;01/2018;2.662;2.565;4361.746;4647.624;1638.398;1812.245;2.403;2.58;2.888;1177.035;1738.36;4768.878;489.861;673.822;1651.204;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
AGUACATE;01/2018;2.985;3.53;2256.848;2214.874;756.15;627.432;3.409;3.052;3.244;325.9;714.64;2241.739;95.608;234.176;691.144;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
PIÑA;01/2018;1.297;1.46;1881.988;1906.704;1451.33;1305.986;1.364;1.176;1.552;529.517;635.426;2519.784;388.259;540.121;1623.482;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
POMELO;01/2018;1.554;1.761;177.059;269.654;113.939;153.108;1.741;1.814;1.582;59.646;88.907;368.656;34.257;49.0;233.021;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
CHIRIMOYA;01/2018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.384.408;6.578.079;2.026.807;2.409.164;7.600.065
