Producto;Fecha;Precio AND (€/Kg);Precio MAD (€/Kg);Valor AND (miles €);Valor MAD (miles €);Volumen AND (miles kg);Volumen MAD (miles kg);Precio CLM (€/Kg);Precio CYL (€/Kg);Precio CAT (€/Kg);Valor CLM (miles €);Valor CYL (miles €);Valor CAT (miles €);Volumen CLM (miles kg);Volumen CYL (miles kg);Volumen CAT (miles kg);Poblacion AND;Poblacion MAD;Poblacion CLM;Poblacion CYL;Poblacion CAT
ZANAHORIAS;06/2020;0.954;0.87;2215.804;2031.769;2323.806;2335.767;0.866;0.86;1.022;389.621;832.607;2600.605;449.962;967.796;2543.466;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CALABACINES;06/2020;1.353;1.284;4246.56;3512.489;3138.098;2735.634;1.381;1.278;1.414;1000.693;1337.408;4304.424;724.423;1046.423;3044.106;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BROCOLI;06/2020;2.59;2.672;1268.17;1164.748;489.605;435.916;2.509;2.109;2.176;349.239;461.239;2024.311;139.216;218.751;930.151;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALCACHOFAS;06/2020;1.936;2.335;466.06;395.544;240.768;169.38;2.113;1.796;2.735;88.854;96.575;1076.861;42.05;53.775;393.694;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
APIO;06/2020;1.822;2.097;534.8;242.32;293.514;115.548;1.344;1.925;1.387;65.559;78.28;494.225;48.772;40.672;356.396;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLIFLOR;06/2020;1.783;1.946;575.492;306.055;322.729;157.308;1.944;2.211;2.148;68.755;125.664;333.486;35.36;56.835;155.228;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PUERRO;06/2020;2.66;2.585;1103.501;1801.072;414.868;696.685;2.706;3.022;2.643;256.258;521.703;1523.049;94.701;172.655;576.197;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NARANJAS;06/2020;1.297;1.363;7981.25;10355.16;6151.37;7598.886;1.404;1.344;1.429;2729.219;4471.756;10730.03;1944.182;3327.064;7511.309;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANDARINAS;06/2020;2.194;2.264;296.149;515.043;134.978;227.532;2.336;1.907;2.411;52.32;117.19;176.726;22.401;61.442;73.299;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LIMONES;06/2020;1.737;1.922;2484.815;3342.806;1430.529;1739.04;1.875;2.006;2.052;1113.994;1602.989;3602.702;594.15;799.04;1755.808;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PLATANOS;06/2020;1.493;1.621;11276.28;10978.13;7554.932;6772.722;1.583;1.594;1.678;3061.695;4144.21;12574.61;1933.852;2600.011;7495.48;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANZANAS;06/2020;1.551;1.63;7772.932;7808.968;5012.847;4789.589;1.52;1.278;1.626;1822.428;3243.869;9208.335;1198.789;2539.162;5664.6;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PERAS;06/2020;1.876;2.067;3723.578;3797.41;1985.244;1837.384;1.752;1.876;2.129;1118.326;1814.712;4867.537;638.39;967.537;2286.816;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELOCOTONES;06/2020;2.038;2.1;6593.44;7039.378;3234.899;3351.396;2.035;1.914;2.335;1817.783;2456.381;11839.93;893.08;1283.193;5071.262;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NECTARINAS;06/2020;1.833;1.823;3259.665;2963.809;1778.697;1626.056;1.823;1.927;2.039;807.773;1963.893;3963.778;443.077;1019.268;1943.988;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALBARICOQUES;06/2020;2.199;2.167;3768.2;5031.608;1713.628;2322.368;2.233;2.056;2.468;1435.282;1702.191;5730.341;642.864;827.88;2322.23;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
FRESAS/FRESON;06/2020;3.238;3.014;1909.679;1676.077;589.781;556.092;3.268;3.024;3.525;354.058;901.146;3646.823;108.336;297.996;1034.56;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELON;06/2020;1.431;1.496;11799.12;10137.46;8247.055;6777.225;1.52;1.436;1.652;2279.542;3630.879;14598.52;1500.144;2528.027;8834.328;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
SANDIA;06/2020;0.952;0.999;18060.82;14094.16;18977.52;14111.09;0.964;0.931;1.098;6360.576;5084.79;14913.45;6597.806;5462.408;13582.54;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CIRUELAS;06/2020;2.058;1.909;1951.847;1516.024;948.494;794.284;1.879;2.114;2.242;427.497;353.805;2261.614;227.516;167.327;1008.809;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEREZAS;06/2020;4.367;4.238;14016.92;12563.23;3209.771;2964.536;4.162;4.051;4.914;2466.203;4341.273;17006.56;592.556;1071.657;3460.936;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
UVAS;06/2020;3.553;3.351;1545.706;966.609;435.068;288.427;3.48;3.332;3.814;183.733;195.154;1207.393;52.803;58.578;316.602;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
KIWI;06/2020;3.638;3.66;4733.891;5705.823;1301.313;1559.072;3.783;3.418;3.823;1238.826;2052.908;6458.561;327.457;600.651;1689.587;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AGUACATE;06/2020;3.675;3.605;4004.326;3706.114;1089.679;1028.172;3.28;3.686;3.893;1063.124;1072.135;3846.844;324.093;290.902;988.261;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIÑA;06/2020;1.703;1.586;1811.015;1966.468;1063.41;1239.754;1.556;1.507;1.758;565.849;620.416;2422.324;363.579;411.648;1377.578;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
POMELO;06/2020;2.015;1.782;464.196;321.926;230.361;180.64;2.619;1.997;2.226;41.038;197.228;278.053;15.667;98.762;124.919;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHIRIMOYA;06/2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANGO;06/2020;2.522;2.632;1098.573;1314.313;435.627;499.34;3.667;3.918;3.016;171.387;547.95;1137.521;46.742;139.871;377.106;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
TOMATES;07/2020;1.447;1.593;22628.93;15319.22;15639.0;9617.157;1.524;1.597;1.692;4801.795;5456.499;24948.8;3149.863;3416.044;14743.91;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEBOLLAS;07/2020;1.129;1.232;5553.449;3828.936;4919.507;3107.529;1.164;1.198;1.361;1185.487;1753.707;6796.662;1018.56;1463.963;4994.528;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AJOS;07/2020;3.584;4.477;2274.853;1216.144;634.778;271.655;4.157;3.62;4.707;388.591;991.003;1584.92;93.473;273.791;336.722;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLES;07/2020;1.301;1.188;399.322;523.124;306.92;440.228;1.099;1.034;1.065;69.284;193.238;683.116;63.02;186.882;641.703;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PEPINOS;07/2020;1.368;1.242;4074.422;2662.528;2978.164;2144.092;1.403;1.258;1.382;1391.197;1039.269;3752.364;991.314;825.898;2714.913;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
JUDIAS VERDES;07/2020;3.284;2.857;3668.048;2173.746;1116.854;760.869;3.556;3.545;3.559;905.57;1350.74;9005.642;254.625;380.99;2530.594;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIMIENTOS;07/2020;1.756;1.879;7213.161;5548.774;4107.257;2953.697;1.833;2.093;1.919;1732.263;2544.494;7394.543;944.824;1216.001;3853.746;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHAMPIÑONES+O.SETAS;07/2020;3.66;3.907;2686.585;2373.613;734.105;607.499;4.132;3.946;4.109;734.233;714.222;3064.585;177.679;180.982;745.864;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LECHUGA/ESC./ENDIVIA;07/2020;2.723;3.069;7351.656;5147.579;2699.553;1677.183;2.882;2.431;2.883;1112.137;2533.002;9621.746;385.955;1042.139;3337.388;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ESPARRAGOS;07/2020;3.384;4.672;502.875;568.803;148.624;121.746;4.825;3.165;2.638;153.597;131.441;1031.913;31.833;41.534;391.213;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
VERDURAS DE HOJA;07/2020;2.468;2.634;1191.436;1574.541;482.795;597.748;2.002;3.114;2.773;240.252;383.646;1814.861;120.013;123.212;654.536;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BERENJENAS;07/2020;1.564;1.678;2921.924;1249.858;1867.692;744.748;1.525;1.433;1.418;413.148;366.987;3110.349;270.959;256.037;2192.94;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ZANAHORIAS;07/2020;0.956;0.915;2169.849;1642.187;2269.905;1795.128;0.902;0.929;1.086;389.583;829.444;2416.219;431.91;893.068;2224.963;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CALABACINES;07/2020;1.35;1.242;3759.92;2416.542;2784.819;1945.519;1.386;1.435;1.336;970.216;1448.321;4634.286;699.997;1009.164;3469.686;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BROCOLI;07/2020;2.067;2.431;1013.521;931.255;490.332;383.087;2.423;2.387;2.037;388.525;373.523;1255.997;160.318;156.47;616.46;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALCACHOFAS;07/2020;2.783;2.214;148.936;146.593;53.524;66.198;3.492;2.747;2.916;28.674;10.292;290.829;8.212;3.746;99.744;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
APIO;07/2020;1.158;2.07;571.965;214.596;493.763;103.669;2.569;1.406;0.933;34.526;46.739;1044.903;13.438;33.246;1119.873;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLIFLOR;07/2020;1.716;1.7;341.04;123.104;198.698;72.412;2.102;1.594;1.897;52.497;106.319;388.911;24.977;66.692;204.967;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PUERRO;07/2020;2.806;2.61;1038.075;1041.209;369.922;398.988;2.51;2.309;3.076;348.634;484.568;1420.318;138.91;209.849;461.692;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NARANJAS;07/2020;1.415;1.37;6221.573;6534.348;4395.812;4770.763;1.394;1.444;1.452;1496.101;3206.159;7080.119;1073.103;2220.401;4876.537;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANDARINAS;07/2020;2.381;1.724;213.155;343.241;89.51;199.125;1.591;2.946;2.265;78.188;58.112;170.258;49.13;19.724;75.173;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LIMONES;07/2020;1.774;1.916;2773.851;2969.62;1563.988;1549.721;1.871;2.012;2.015;588.727;1059.915;3517.523;314.737;526.717;1745.384;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PLATANOS;07/2020;1.476;1.618;9762.107;9033.099;6612.287;5582.689;1.548;1.541;1.665;2647.586;3704.385;10931.8;1710.747;2403.291;6564.452;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANZANAS;07/2020;1.575;1.734;6155.184;5444.592;3907.085;3139.903;1.539;1.425;1.618;1107.463;2315.443;7781.437;719.629;1624.512;4808.779;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PERAS;07/2020;1.797;1.972;2887.11;2821.42;1607.024;1430.383;1.834;1.816;2.035;861.243;1119.264;3787.898;469.682;616.201;1861.118;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELOCOTONES;07/2020;1.864;1.948;9861.145;8457.812;5290.957;4342.073;1.76;1.785;2.032;3141.253;2839.76;15242.63;1785.261;1590.643;7501.581;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NECTARINAS;07/2020;1.77;1.749;4424.29;3442.958;2499.108;1969.061;1.798;1.686;1.808;1317.656;2447.416;5911.172;733.047;1451.711;3269.475;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALBARICOQUES;07/2020;2.213;2.31;1525.277;2904.965;689.148;1257.396;2.044;2.101;2.516;787.834;892.411;2563.848;385.363;424.683;1019.082;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
FRESAS/FRESON;07/2020;4.498;2.981;751.48;783.238;167.078;262.714;4.445;3.583;4.165;218.471;374.405;1266.371;49.147;104.483;304.025;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELON;07/2020;1.082;1.148;14217.94;11125.31;13145.49;9694.776;1.055;0.998;1.23;3045.214;4398.032;16917.46;2885.406;4408.877;13751.09;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
SANDIA;07/2020;0.72;0.729;17656.87;11213.93;24532.6;15390.47;0.665;0.669;0.811;4705.054;4625.555;16492.78;7077.425;6910.244;20337.95;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CIRUELAS;07/2020;1.977;1.887;3565.424;2004.747;1803.393;1062.398;1.873;1.856;1.929;855.933;717.833;3683.381;456.934;386.861;1909.616;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEREZAS;07/2020;4.892;5.087;7989.547;6821.107;1633.236;1341.016;4.755;4.252;5.73;1330.936;1956.205;10049.9;279.921;460.111;1753.895;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
UVAS;07/2020;3.107;3.323;2319.316;1441.545;746.369;433.862;3.515;2.901;3.368;383.472;267.777;2321.346;109.097;92.294;689.193;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
KIWI;07/2020;3.603;3.727;5101.82;5181.123;1415.958;1390.28;3.589;3.551;3.73;1076.883;2173.962;5535.048;300.066;612.201;1483.802;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AGUACATE;07/2020;3.37;3.168;3946.559;2851.325;1171.038;900.059;3.74;3.359;3.621;803.98;1152.334;4132.923;214.976;343.102;1141.507;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIÑA;07/2020;1.766;1.658;1368.31;1327.559;774.692;800.775;1.749;1.737;1.777;388.234;534.981;1887.656;221.913;308.025;1062.48;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
POMELO;07/2020;1.508;1.483;300.884;217.776;199.583;146.833;2.446;2.136;1.984;66.457;202.056;513.624;27.165;94.594;258.865;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHIRIMOYA;07/2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANGO;07/2020;2.754;2.705;1697.17;1142.923;616.173;422.572;2.271;2.626;2.875;107.052;441.291;1415.247;47.13;168.068;492.246;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
TOMATES;08/2020;1.428;1.526;17831.98;11171.9;12487.07;7322.336;1.47;1.631;1.761;3660.877;4448.373;21616.05;2490.113;2727.287;12272.87;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEBOLLAS;08/2020;1.289;1.218;5912.671;3354.305;4587.115;2753.796;1.353;1.122;1.397;1299.886;1973.177;5946.279;960.858;1758.154;4255.4;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AJOS;08/2020;3.782;4.469;1786.249;1040.842;472.255;232.909;3.908;4.284;4.91;350.033;450.762;1419.237;89.578;105.232;289.062;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLES;08/2020;1.008;1.182;913.807;367.287;906.938;310.848;1.536;0.962;1.157;36.462;466.397;592.057;23.732;485.069;511.529;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PEPINOS;08/2020;1.37;1.248;3616.636;1929.032;2640.491;1545.966;1.454;1.296;1.441;1430.539;772.01;3420.288;984.15;595.592;2373.806;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
JUDIAS VERDES;08/2020;3.544;3.435;2524.697;1864.777;712.338;542.84;3.059;4.679;4.376;480.571;1901.695;5069.982;157.123;406.463;1158.64;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIMIENTOS;08/2020;1.813;1.869;7028.112;4924.548;3877.106;2635.033;1.63;1.973;2.02;1555.474;2693.696;7670.449;954.368;1365.207;3796.696;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHAMPIÑONES+O.SETAS;08/2020;3.956;3.846;2526.472;1849.524;638.575;480.89;4.4;3.878;3.681;552.542;580.704;2618.787;125.57;149.735;711.496;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LECHUGA/ESC./ENDIVIA;08/2020;2.534;3.154;6190.548;4658.3;2443.157;1477.173;2.942;2.567;2.704;923.564;2298.471;8707.295;313.904;895.494;3220.194;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ESPARRAGOS;08/2020;3.25;3.556;391.325;519.135;120.404;145.973;2.618;2.42;2.317;162.842;129.304;818.846;62.206;53.424;353.38;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
VERDURAS DE HOJA;08/2020;2.75;2.532;907.792;1398.166;330.066;552.239;2.937;2.983;2.473;176.239;564.274;1869.98;60.004;189.16;756.166;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BERENJENAS;08/2020;1.618;1.6;2667.525;1069.332;1648.544;668.479;1.643;1.567;1.674;532.982;410.538;2425.736;324.37;261.954;1448.827;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ZANAHORIAS;08/2020;0.938;0.917;2022.839;1545.529;2155.798;1684.899;0.868;0.863;1.083;378.194;639.566;2163.935;435.92;741.187;1997.399;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CALABACINES;08/2020;1.37;1.209;3471.273;2171.064;2534.442;1795.456;1.546;1.778;1.419;718.95;2330.502;3304.727;465.081;1310.959;2328.987;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BROCOLI;08/2020;2.359;2.543;736.376;751.986;312.166;295.717;2.892;1.582;2.488;217.962;418.245;1170.766;75.38;264.373;470.542;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALCACHOFAS;08/2020;1.546;1.395;18.888;22.528;12.221;16.151;0.0;4.714;3.715;0.0;9.689;75.31;0.0;2.055;20.272;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
APIO;08/2020;1.621;1.681;319.291;205.827;196.963;122.477;1.679;1.441;1.47;45.773;47.185;375.295;27.266;32.747;255.269;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLIFLOR;08/2020;1.936;1.96;369.137;153.507;190.66;78.338;2.083;1.994;1.967;94.388;148.034;469.966;45.308;74.246;238.956;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PUERRO;08/2020;2.804;2.446;1016.086;1154.163;362.402;471.824;2.29;3.533;3.015;291.479;569.087;1525.39;127.296;161.064;505.993;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NARANJAS;08/2020;1.712;1.694;4714.791;5362.453;2753.675;3164.713;1.764;1.709;1.748;1097.651;2709.939;6885.669;622.213;1585.461;3938.484;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANDARINAS;08/2020;1.979;1.967;424.785;573.416;214.694;291.591;1.778;2.23;2.434;94.186;221.559;337.808;52.979;99.345;138.774;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LIMONES;08/2020;1.991;2.042;2760.518;2694.619;1386.31;1319.476;1.54;2.172;1.988;727.266;1054.73;3389.959;472.323;485.653;1705.396;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PLATANOS;08/2020;1.501;1.659;8442.183;7780.885;5625.243;4689.729;1.515;1.671;1.685;1820.675;3131.761;8817.732;1201.676;1874.639;5233.567;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANZANAS;08/2020;1.626;1.668;6973.395;4082.48;4287.474;2447.804;1.552;1.538;1.596;974.267;2453.79;8220.2;627.629;1595.414;5149.002;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PERAS;08/2020;1.933;1.856;4159.269;2946.036;2151.557;1587.448;1.711;1.703;1.861;622.001;1329.134;3971.743;363.492;780.652;2134.138;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELOCOTONES;08/2020;1.819;1.946;8243.172;7532.238;4531.149;3871.088;1.705;1.783;2.012;2235.626;2549.676;15454.82;1311.337;1430.106;7680.387;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
NECTARINAS;08/2020;1.781;1.885;3414.62;2960.479;1917.061;1570.449;1.703;1.839;1.892;698.989;2303.089;5107.19;410.468;1252.617;2699.226;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALBARICOQUES;08/2020;1.852;2.498;367.416;830.388;198.425;332.388;2.446;2.291;2.198;85.608;257.925;379.036;34.995;112.562;172.408;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
FRESAS/FRESON;08/2020;4.014;4.915;635.941;410.142;158.45;83.453;4.346;4.48;4.775;111.734;465.572;1107.679;25.707;103.928;231.982;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MELON;08/2020;0.915;0.961;13510.72;9430.787;14762.76;9813.087;1.022;1.001;1.086;4083.21;4861.261;15398.58;3994.25;4857.321;14178.22;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
SANDIA;08/2020;0.618;0.712;12582.66;7580.969;20353.19;10640.89;0.619;0.625;0.73;3233.27;4500.678;11785.55;5221.525;7201.652;16139.23;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CIRUELAS;08/2020;1.826;2.014;3486.425;3066.395;1909.032;1522.869;2.155;2.151;2.15;759.104;949.926;3775.264;352.331;441.696;1756.277;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEREZAS;08/2020;4.948;5.044;767.191;707.78;155.058;140.331;2.705;4.721;6.86;73.844;121.805;1558.674;27.295;25.802;227.213;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
UVAS;08/2020;2.762;2.655;3580.866;2179.28;1296.265;820.939;2.845;2.325;2.862;459.382;732.595;4552.914;161.45;315.158;1590.905;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
KIWI;08/2020;3.729;3.641;4228.209;4398.288;1133.954;1207.943;3.143;3.28;4.278;506.609;1558.477;5062.464;161.168;475.142;1183.302;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AGUACATE;08/2020;3.502;3.555;3865.886;2576.796;1103.856;724.928;3.597;3.855;3.585;457.642;1268.848;3522.911;127.213;329.112;982.769;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIÑA;08/2020;1.669;1.948;880.759;1123.555;527.862;576.677;1.796;1.844;2.002;205.543;381.36;1648.394;114.442;206.855;823.445;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
POMELO;08/2020;2.113;1.879;204.238;170.852;96.659;90.931;2.017;1.996;2.589;47.259;210.421;523.715;23.433;105.439;202.285;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHIRIMOYA;08/2020;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
MANGO;08/2020;2.357;2.596;1382.697;1008.605;586.537;388.511;2.649;2.278;2.677;110.954;387.496;1044.71;41.885;170.123;390.308;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
TOMATES;09/2020;1.563;1.648;18788.29;12526.29;12022.11;7601.317;1.679;1.854;1.92;3723.849;8957.919;18911.28;2217.363;4830.724;9848.184;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CEBOLLAS;09/2020;1.098;1.188;5113.471;4483.016;4656.257;3772.623;1.116;1.17;1.318;1166.436;1862.237;6470.921;1045.155;1591.292;4909.469;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
AJOS;09/2020;4.288;3.909;1894.062;2210.52;441.744;565.556;3.941;4.353;4.815;680.721;439.229;1469.402;172.738;100.909;305.203;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLES;09/2020;1.161;1.128;641.039;905.729;552.259;803.299;1.031;0.969;1.263;186.394;916.463;969.191;180.814;945.556;767.447;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PEPINOS;09/2020;1.483;1.429;2541.483;2228.408;1714.27;1559.393;1.581;1.38;1.544;884.837;842.796;2605.403;559.692;610.928;1686.913;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
JUDIAS VERDES;09/2020;3.604;3.46;3076.247;2833.83;853.597;818.939;3.787;3.566;4.689;593.09;1467.675;4981.073;156.6;411.541;1062.378;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PIMIENTOS;09/2020;2.183;1.88;10065.71;5373.597;4611.679;2858.652;1.679;2.413;2.034;1327.843;7578.349;6032.372;790.652;3140.169;2966.414;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CHAMPIÑONES+O.SETAS;09/2020;3.772;4.041;3296.394;2557.266;873.915;632.78;4.172;3.834;3.995;839.287;649.212;3146.695;201.172;169.325;787.753;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
LECHUGA/ESC./ENDIVIA;09/2020;2.714;3.088;6709.168;4796.659;2471.908;1553.231;2.41;2.467;2.723;1080.246;1907.09;9265.803;448.217;773.184;3402.636;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ESPARRAGOS;09/2020;3.399;4.596;541.939;724.709;159.433;157.693;4.556;4.373;2.888;186.312;169.647;904.711;40.891;38.793;313.297;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
VERDURAS DE HOJA;09/2020;2.506;2.92;1517.416;1891.608;605.572;647.828;1.912;2.55;2.53;299.262;431.238;2179.553;156.55;169.118;861.391;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BERENJENAS;09/2020;1.672;1.706;2683.3;1476.297;1604.486;865.238;1.626;1.82;1.765;459.161;799.568;2569.756;282.306;439.441;1455.64;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ZANAHORIAS;09/2020;0.935;0.942;2252.67;2234.43;2408.345;2372.647;0.98;0.967;1.055;480.394;695.136;2200.581;490.425;719.019;2086.187;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
CALABACINES;09/2020;1.407;1.442;3560.509;3880.972;2530.971;2690.513;1.591;1.54;1.59;871.26;1209.129;3872.718;547.501;785.153;2435.872;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
BROCOLI;09/2020;2.157;2.297;1248.288;1456.508;578.65;633.975;2.219;1.751;2.099;378.254;604.27;1901.157;170.482;345.024;905.537;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
ALCACHOFAS;09/2020;1.915;2.106;32.98;70.342;17.22;33.408;3.4;3.494;1.438;4.407;4.629;29.126;1.296;1.325;20.254;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
APIO;09/2020;1.607;2.015;385.716;275.596;240.095;136.75;1.532;1.636;1.389;28.105;100.468;426.695;18.343;61.397;307.118;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
COLIFLOR;09/2020;1.734;1.842;623.035;359.149;359.368;194.957;1.765;2.069;1.681;180.144;269.231;415.676;102.086;130.149;247.267;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
PUERRO;09/2020;2.745;2.499;1335.141;2199.287;486.438;880.11;2.824;3.238;2.641;415.017;624.486;1541.631;146.937;192.856;583.707;8.464.411;6.779.888;2.045.221;2.394.918;7.780.479
